correct word,transliterated correct word,misspelled word,transliterated misspelled word,transliterated candidate word from spellchecker,candidate word from spellchecker,found correct word or not
শুল্ক,shulk,শুলক,shulak,"shulk,","শুল্ক, ",yes
প্রত্যাহারের,pratyaharer,পরত্যাহারের,paratyaharer,"pratyaharer,","প্রত্যাহারের, ",yes
ব্যবসায়ীদের,vyavasaiider,বাবসায়ীদের,babasaiider,"babasaiider,",,no
শীর্ষ,sheersh,শীরশ,shirsh,"shirish,shirshe,shish,shrish,","শিরীষ, শীর্ষে, শীষ, শ্রীশ, ",no
শিল্প,shilp,শিলপ,shilp,"shilp,","শিল্প, ",yes
মূল্য,muly,মূলা,mula,"mala,mulya,mul,mura,muly,mila,kula,mule,musa,muga,tula,mela,mular,","মালা, মুল্য, মূল, মুড়া, মূল্য, মিলায়ে, কুলায়, মূলে, মুসা, মুগার, তুলা, মেলায়, মুলার, ",yes
পণ্য,panya,পেণ,pen,"pen,","পেন, ",no
সম্পূরক,sampoorak,সপূরক,sapurk,"sapurk,",,no
প্রত্যাহার,pratyahar,পরত্যাহার,paratyahar,"pratyahar,","প্রত্যাহার, ",yes
প্রয়োজন,prayojan,পরয়োজন,paryojan,"prayojan,pryojan,","প্রয়োজন, প্রায়োজন, ",no
রপ্তানি,raptani,রপতানি,rapatani,"raptani,","রপ্তানি, ",yes
নিষিদ্ধের,nishiddher,নিষিদডের,nishidader,"nishidader,",,no
পরিপ্রেক্ষিতে,paripreekshite,পরিপরেক্ষিতে,pariparekshite,"pariparekshite,",,no
বাণিজ্য,banisya,বাণিেজ,banij,"banii,banik,banio,banil,bani,bania,banaj,banie,","বাণীই, বণিক্‌, বানিয়ো, বনিল, বাণীর, বনিয়া, বনজ, বানিয়ে, ",no
মন্ত্রণালয়,mantranalaya,মনত্রণালয়,manatranalaya,"mantranalaya,","মন্ত্রণালয়, ",yes
নিষিদ্ধও,nishiddhao,নিষিদডও,nishidado,"nishidado,",,no
উল্টো,ulto,উলতো,ulto,"ulto,","উল্টো, ",yes
প্রভাব,prabhava,পরভাব,parabhav,"parabhav,",,no
নিষিদ্ধ,nishidh,নিষিদদ,nishidad,"nishidad,",,no
ব্যাংকের,vyanker,বাাংকের,baker,"baker,","বকের, ",no
প্রশিক্ষণ,prashikshan,পরশিক্ষণ,parashikshan,"prashikshan,","প্রশিক্ষণ, ",yes
ব্যাংক,vyank,েবাংক,baank,"baank,","বাঁক, ",no
ব্যবসায়,vyavsa,বাবসায়,bavasa,"bavasa,","ব্যাবসা, ",no
মুখ্য,mukhya,মুেখ,mukh,"mukh,","মুখ, ",no
ব্যবস্থাপনা,vyavasthapana,বাবস্থাপনা,bavasthapana,"bavasthapana,",,no
শীর্ষক,shirshak,শীরশক,shirshak,"shirshak,","শীর্ষক, ",yes
