correct word,transliterated correct word,misspelled word,transliterated misspelled word,transliterated candidate word from spellchecker,candidate word from spellchecker,found correct word or not
শুল্ক,shulk,শুলক,shulak," shulk, shuia, dhula, shushk, shuna, "," শুল্ক, শুইয়া, ধূলা, শুষ্ক, শুনা, ",yes
প্রত্যাহারের,pratyaharer,পরত্যাহারের,paratyaharer," pratyaharer, pratyahar, pratyaharan, pratyahai, pratyaher, "," প্রত্যাহারের, প্রত্যাহার, প্রত্যাহরণ, প্রত্যহই, প্রত্যহের, ",yes
ব্যবসায়ীদের,vyavasaiider,বাবসায়ীদের,babasaiider," babsadhar, babsate, babsatio, babsatuku, babsata, "," ব্যাবসাদার, ব্যাবসাতে, ব্যাবসাটিও, ব্যাবসাটুকু, ব্যাবসাটা, ",no
শীর্ষ,sheersh,শীরশ,shirsh," shrish, shirshe, shesh, shiksha, shishu, "," শ্রীশ, শীর্ষে, শেষ, শিক্ষা, শিশু, ",no
শিল্প,shilp,শিলপ,shilp," shilp, shilpi, shilpe, shiln, shil, "," শিল্প, শিল্পী, শিল্পে, শিলঙে, শিল, ",yes
মূল্য,muly,মূলা,mula," mula, muly, mul, mela, mala, "," মুলা, মূল্য, মূল, মেলা, মালা, ",yes
পণ্য,panya,পেণ,pen," pen, pan, open, pet, nen, "," পেন, পান, ওপেন, পেট, নেন, ",no
সম্পূরক,sampoorak,সপূরক,sapurk," sampark, apurv, satark, sabur, sapura, "," সম্পর্ক, অপূর্ব, সতর্ক, সবুর, সাপুড়া, ",no
প্রত্যাহার,pratyahar,পরত্যাহার,paratyahar," pratyahar, pratyahai, pratyashar, pratyaharer, pratyaher, "," প্রত্যাহার, প্রত্যহই, প্রত্যাশার, প্রত্যাহারের, প্রত্যহের, ",yes
প্রয়োজন,prayojan,পরয়োজন,paryojan," prayojan, prayojane, pryojan, prayojak, sanyojan, "," প্রয়োজন, প্রয়োজনে, প্রায়োজন, প্রযোজক, সংযোজন, ",no
রপ্তানি,raptani,রপতানি,rapatani," raptani, tanatani, rajarani, rajputani, sanatani, "," রপ্তানি, টানাটানি, রাজরানী, রাজপুতানীর, সনাতনী, ",yes
নিষিদ্ধের,nishiddher,নিষিদডের,nishidader," pishimader, nishiddher, nishithedactor, "," পিসিমাদের, নিষিদ্ধের, নিশীথেডাক্তার, ",yes
পরিপ্রেক্ষিতে,paripreekshite,পরিপরেক্ষিতে,pariparekshite," paripreekshite, pariprekshit, paribartan, pariparshver, paripurna, "," পরিপ্রেক্ষিতে, পরিপ্রেক্ষিত, পরিবর্তন, পরিপার্শ্বের, পরিপূর্ণ, ",yes
বাণিজ্য,banisya,বাণিেজ,banij," balia, banie, balil, bandh, basia, "," বলিয়া, বানিয়ে, বলিল, বন্ধ, বসিয়া, ",no
মন্ত্রণালয়,mantranalaya,মনত্রণালয়,manatranalaya," mantranalaya, mantranalay, mantranalyer, mantranalayk, mantranadata, "," মন্ত্রণালয়, মন্ত্রণালয়ে, মন্ত্রণালয়ের, মন্ত্রণালয়কে, মন্ত্রণাদাতা, ",yes
নিষিদ্ধও,nishiddhao,নিষিদডও,nishidado," nishithedactor, "," নিশীথেডাক্তার, ",no
উল্টো,ulto,উলতো,ulto," ulto, ulte, ulta, ultoi, tulte, "," উল্টো, উল্টে, উল্টা, উলটোই, তুলতে, ",yes
প্রভাব,prabhava,পরভাব,parabhav," prabhava, prabhat, prabhave, parasav, jvarabhav, "," প্রভাব, প্রভাত, প্রভাবে, পরাভব, জ্বরভাব, ",yes
নিষিদ্ধ,nishidh,নিষিদদ,nishidad," nishidh, nishidin, nishipal, nishad, nishithedactor, "," নিষিদ্ধ, নিশিদিন, নিশিপাল, নিষাদ, নিশীথেডাক্তার, ",yes
ব্যাংকের,vyanker,বাাংকের,baker," buker, baper, baker, balker, baner, "," বুকের, ব্যাপার, বাকের, বালকের, বনের, ",no
প্রশিক্ষণ,prashikshan,পরশিক্ষণ,parashikshan," prashikshan, prashikshak, prashikshane, prashikshaner, prashikshano, "," প্রশিক্ষণ, প্রশিক্ষক, প্রশিক্ষণে, প্রশিক্ষণের, প্রশিক্ষণও, ",yes
ব্যাংক,vyank,েবাংক,baank," baank, baanka, baan, baani, jaani, "," বাঁক, বাঁকা, বাণ, বাণী, জানি, ",no
ব্যবসায়,vyavsa,বাবসায়,bavasa," bavasa, sahasa, baas, vyavasa, aasa, "," ব্যাবসা, সহসা, বাস, ব্যবসা, আসা, ",no
মুখ্য,mukhya,মুেখ,mukh," mukh, mukhe, sukh, mukho, murkh, "," মুখ, মুখে, সুখ, মুখো, মূর্খ, ",no
ব্যবস্থাপনা,vyavasthapana,বাবস্থাপনা,bavasthapana," vyavasthapana, avasthapan, bhavasthik, bavasthapana_parichalak, "," ব্যবস্থাপনা, অবস্থাপন, ভাবসঠিক, ব্যাবস্থাপনা_পরিচালক, ",yes
শীর্ষক,shirshak,শীরশক,shirshak," shirshak, shikshak, shiksha, shikshar, shirshe, "," শীর্ষক, শিক্ষক, শিক্ষা, শিক্ষার, শীর্ষে, ",yes
দিনব্যাপী,dinvyapi,দিনবাাপী,dinwapi," dinai, dinvyapi, dinmani, diwani, dinaba, "," দিনই, দিনব্যাপী, দিনমণি, দিওয়ানি, দিনাবা, ",yes
কোর্সের,courser,কোরসের,korsser," krosser, krosher, bosser, koraner, lordser, "," ক্রোড়ের, ক্রোশের, বোসের, কোরআনের, লর্ডসের, ",no
ইনস্টিটিউটে,institut,ইনসতিটিউটে,institut," institut, institute, instituter, instituty, inshtitute, "," ইনস্টিটিউটে, ইনস্টিটিউট, ইনস্টিটিউটের, ইনস্টিটিউটি, ইনষ্টিটিউট, ",yes
কর্মসূচিতে,karmasuchite,করসূচিতে,karasuchite," karmasuchite, karachite, gorasucharita, caryasuchi, carya_suchi, "," কর্মসূচিতে, করাচিতে, গোরাসুচরিতা, কার্যসূচী, কার্য_সূচী, ",yes
কর্মকর্তা,karmakarta,করকর্তা,karkarta," karata, karanta, karmarat, karukarya, kartara, "," করাটা, কারণটা, কর্মরত, কারুকার্য, কর্তারা, ",no
কোর্স,course,কোরস,coras," cora, coral, royas, chorai, corak, "," কোরা, coral, রয়েছে, চোরাই, কোরক, ",no
অনুষ্ঠানে,anusthan,অনুষতানে,anushatan," anushasan, anusaran, anushtit, anushilan, anughatan, "," অনুশাসন, অনুসরণ, অনুষ্ঠিত, অনুশীলন, অনুঘটন, ",no
প্রশিক্ষণার্থীদের,prashikshanarthider,পরশিক্ষণার্থীদের,parashikshanarthider," prashikshanarthider, prashikshanarthike, prashikshaner, prashikshan, prashikshannicher, "," প্রশিক্ষণার্থীদের, প্রশিক্ষণার্থীকে, প্রশিক্ষণের, প্রশিক্ষণ, প্রশিক্ষণনিচের, ",yes
উপব্যবস্থাপনা,upavyavasthapana,উপেববস্থাপনা,upevbasthapana," apavyabahar, upavibhagian, apavyabaharer, upavibhakti, abhavbashat, "," অপব্যবহার, উপবিভাগীয়, অপব্যবহারের, উপবিভক্তি, অভাববশত, ",no
ইনস্টিটিউটের,instituter,ইনসতিটিউটের,instituter," instituter, institute, inshtituter, instituteg, institut, "," ইনস্টিটিউটের, ইনস্টিটিউট, ইনষ্টিটিউটের, ইনস্টিটিউটগ, ইনস্টিটিউটে, ",yes
কোর্সটি,corsety,কোরসটি,corsti," comiti, cort, corsety, coast, coshti, "," কমিটির, কোর্টে, কোর্সটি, কোস্ট, কোষ্ঠী, ",yes
সমন্বয়,samanva,সমনয়,samanaya," samanya, samasya, asamanya, samanjasya, amanya, "," সামান্য, সমস্যা, অসামান্য, সামঞ্জস্য, অমান্য, ",no
সদস্য,sadasya,সদেস,sades," sade, sandeh, pade, hayes, aadesh, "," সাড়ে, সন্দেহ, পাড়ে, হয়েছে, আদেশ, ",no
শিপ্রা,shipra,শিপরা,shipara," shikar, shighra, shiharia, shilara, shipra, "," শীকর, শীঘ্র, শিহরিয়া, শিলারের, শিপ্রা, ",yes
বিশ্বাস,vishwas,বিশাস,vishas," vishwas, vishay, visham, vishal, vishan, "," বিশ্বাস, বিষয়ে, বিষম, বিশাল, ভিশন, ",yes
কোর্সে,course,কোরসে,korse," koro, kone, karte, korte, kore, "," কোরো, কোণে, করতেই, কোরতে, কোরি, ",no
সম্পদ,sampada,সপদ,sapad," kapad, samay, sakal, sanad, sampada, "," কাপড়, সময়, সকাল, সনদ, সম্পদ, ",yes
লন্ডারিং,landaring,লনদারিং,landaring," landaring, mandarin, wandering, landraive, landri, "," লন্ডারিং, মান্দারিন, wandering, লংড্রাইভে, লণ্ড্রি, ",yes
অভ্যন্তরীণ,abhyantarin,অেভন্তরীণ,abhantarin," abhyantarin, abhyantarik, abhyantare, abhinetri, abhyantarei, "," অভ্যন্তরীণ, আভ্যন্তরিক, অভ্যন্তরে, অভিনেত্রী, অভ্যন্তরেই, ",yes
নিয়ন্ত্রণ,niyantran,নিয়নত্রণ,niyanthran," niyantran, niyantrane, nimanthran, nayantara, niyantraner, "," নিয়ন্ত্রণ, নিয়ন্ত্রণে, নিমণ্ত্রণ, নয়নতারা, নিয়ন্ত্রণের, ",no
পরিবেশবান্ধব,pariweshvandhav,পরিবেশবানধব,pariweshvandhav," pariweshvandhav, pariweshvadi, pariweshvid, pariweshvadider, parshvachar, "," পরিবেশবান্ধব, পরিবেশবাদী, পরিবেশবিদ, পরিবেশবাদীদের, পার্শ্বচর, ",yes
ব্যাংকিং,vyanking,বাাংকিং,batking," bating, bathing, banking, batain, batin, "," ব্যাটিং, bathing, ব্যাঙ্কিং, বটেন, ব্যাটিংয়ে, ",no
সম্পর্কেও,samparkeo,সপর্কেও,saparkeo," samparkeo, samparker, sarkarkeo, samparkei, safareo, "," সম্পর্কেও, সম্পর্কের, সরকারকেও, সম্পর্কেই, সফরেও, ",yes
বাণিজ্যিক,banigyik,বাণিেজিক,banisic," banisya, baisi, basic, banii, baniti, "," বাণিজ্য, বয়সী, বেসিক, বাণীই, বাণীটি, ",no
ব্যাংকগুলোতে,vyankagulote,েবাংকগুলোতে,bankagulote," vyankagulote, bankachora, bankagaddi, bankake, pankchuality, "," ব্যাংকগুলোতে, বাঁকাচোরা, বাঁকাগাড়ি, বাঁকাকে, পাঙ্ক্‌চুয়ালিটি, ",yes
ক্ষুুদ্রঋণ,khudrarun,খুুদ্রঋণ,khudrarun," khudrarun, khudrarunke, khudraruner, khaddrer, khadir_rushi, "," ক্ষুুদ্রঋণ, ক্ষুদ্রঋণকে, ক্ষুদ্রঋণের, খদ্দরের, খদির_ঋষি, ",yes
সংস্থার,sansthar,সংসতার,sansatar," sansaar, sansarer, sansar, sanskar, santar, "," সংসার, সংসারের, সংসারে, সংস্কার, সাঁতার, ",no
ব্যবস্থা,vyavastha,েববস্থা,babastha," avastha, basasthan, babasah, baystha, anastha, "," অবস্থা, বাসস্থান, বাবাসহ, বয়স্থা, অনাস্থা, ",no
ব্যবস্থার,vyavasthar,েববস্থার,babasthar," avasthar, basasthan, babsadhar, aasthar, babsata, "," অবস্থার, বাসস্থান, ব্যাবসাদার, আস্থার, ব্যাবসাটা, ",no
সার্বিক,sarvik,সারিক,sarik," saria, samrik, karia, sarvik, sari, "," সরিয়া, সামরিক, করিয়া, সার্বিক, শাড়ি, ",yes
উন্নয়নের,unnayaner,উহ্নয়নের,uhnayaner," ushnayaner, unnayaner, nayaner, unnayane, unioner, "," উষ্ণায়নের, উন্নয়নের, নয়নের, উন্নয়নে, ইউনিয়নের, ",yes
লক্ষ্যে,lakshye,লক্ক্যে,lakkye," lakshye, lokke, baakye, lakh, loke, "," লক্ষ্যে, লোককে, বাক্যে, লাখ, লোকে, ",yes
অঙ্কে,anke,অংকে,anke," anke, anyke, anker, banke, atke, "," অঙ্কে, অন্যকে, অঙ্কের, বাঁকে, আটকে, ",yes
প্রস্তাব,prastab,পরস্তাব,parastab," prastab, paraspar, parasav, paratai, prastave, "," প্রস্তাব, পরস্পর, পরাভব, পারাটাই, প্রস্তাবে, ",yes
ক্ষুদ্রঋণ,khudrarun,খুদ্রঋণ,khudrarun," khudrarun, khudrarunke, khudraruner, khaddrer, khadir_rushi, "," ক্ষুুদ্রঋণ, ক্ষুদ্রঋণকে, ক্ষুদ্রঋণের, খদ্দরের, খদির_ঋষি, ",no
সংস্থাসমূহের,sansthasmuher,সংসটাসমূহের,sansatasmuher," sansthasmuher, sansthar, sansader, sansadake, sansthagulor, "," সংস্থাসমূহের, সংস্থার, সংসদের, সংসদকে, সংস্থাগুলোর, ",yes
নেটওয়ার্ক,network,নেটওয়ারক,netoyarak," netoyrk, net_wark, network, netrake, netrike, "," নেটওয়র্ক, নেট_ওয়ার্ক, নেটওয়ার্ক, নেত্রকে, নেত্রীকে, ",no
প্রেসক্লাব,pressclab,পরেসক্লাব,paresaklab," pressclab, pariskar, prasakhar, parasakti, prasakha, "," প্রেসক্লাব, পরিস্কার, প্রশাখার, পরাশক্তি, প্রশাখা, ",yes
সম্মেলনে,sammelne,সমেলনে,samelne," sammelne, sammelner, samale, samule, samalie, "," সম্মেলনে, সম্মেলনের, সামলে, সমূলে, সামলিয়ে, ",yes
কোস্ট,coast,কোসত,kosat," kast, karat, komal, kasht, khat, "," কষ্ট, করত, কোমল, কষ্টে, খাট, ",no
ট্রাস্ট,trust,তরাস্ট,tarust," trust, tarun, taruni, trupt, karush, "," ট্রাস্ট, তরুণ, তরুণী, তৃপ্ত, কৃশ, ",yes
ক্রেডিট,credit,করেডিট,karedit," karit, karesil, karedis, karedile, kareni, "," করিত, করেছিল, করেছিস, করেছিলে, করেনি, ",no
অ্যান্ড,and,েঅান্ড,and," and, mand, dand, andh, bandh, "," অ্যান্ড, মন্দ, দণ্ড, অন্ধ, বন্ধ, ",yes
ডেভেলপমেন্ট,develpament,ডেভেলপমেনট,develpamenat," develpament, development, develpamenter, develparra, develpers, "," ডেভেলপমেন্ট, development, ডেভেলপমেন্টের, ডেভেলপাররা, ডেভেলপার্স, ",yes
ইন্টারন্যাশনাল,internashnal,ইনটারন্যাশনাল,intaranashnal," intaranashnal, internashnal, intranyashnal, internashnaler, internashnalke, "," ইণ্টারন্যাশনাল, ইন্টারন্যাশনাল, ইন্টরন্যাশনল, ইন্টারন্যাশনালের, ইন্টারন্যাশনালকে, ",yes
ফাইন্যান্সিয়াল,financial,ফাইনাান্সিয়াল,financial," financial, financially, financing, financer, finance, "," ফাইন্যান্সিয়াল, financially, ফাইন্যান্সিং, ফিন্যান্সের, ফিন্যান্স, ",yes
ইনস্টিটিউশন,institushan,ইনসতিটিউশন,institushan," institushan, inistitushan, institushne, institution, institute, "," ইনস্টিটিউশন, ইনিস্টিটিউশন, ইনস্টিটিউশনে, institution, ইনস্টিটিউট, ",yes
সম্মেলনের,sammelner,সমেলনের,samelner," sammelner, samaner, sammelne, sammaner, ramener, "," সম্মেলনের, সামনের, সম্মেলনে, সম্মানের, রমেনের, ",yes
নির্বাহী,nirvahi,নিরাহী,nirahi," nirvahi, nirave, nidhi, nidrahin, nirani, "," নির্বাহী, নীরবে, নিধি, নিদ্রাহীন, নিড়ানি, ",yes
সম্মেলন,sammelan,সমেলন,samelan," sammelan, samaran, sammaan, saman, samapan, "," সম্মেলন, স্মরণ, সম্মান, সামনে, সমাপন, ",yes
সঞ্চালনা,sanchalana,সঞচালনা,sanchalana," sanchalana, sanchalan, sanchalna, sancharan, sachalata, "," সঞ্চালনা, সঞ্চালন, সঞ্চালনায়, সঞ্চরণ, সচলতা, ",yes
ট্রাস্টের,traster,তরাস্টের,taraster," traster, taraite, barister, tadanter, taranger, "," ট্রাস্টের, তাড়াইতে, ব্যারিস্টার, তদন্তের, তরঙ্গের, ",yes
মোস্তফা,mostapha,মোসতফা,mostapha," mostapha, mustapha, mustaphar, mustaphake, mostafizur, "," মোস্তফা, মুস্তাফা, মুস্তাফার, মুস্তাফাকে, মোস্তাফিজুর, ",yes
