correct word,transliterated correct word,misspelled word,transliterated misspelled word,transliterated candidate word from spellchecker,candidate word from spellchecker,found correct word or not
শুল্ক,shulk,শুলক,shulak," shulk, shuia, dhula, shushk, shuna, "," শুল্ক, শুইয়া, ধূলা, শুষ্ক, শুনা, ",yes
প্রত্যাহারের,pratyaharer,পরত্যাহারের,paratyaharer," pratyaharer, "," প্রত্যাহারের, ",yes
ব্যবসায়ীদের,vyavasaiider,বাবসায়ীদের,babasaiider, , ,no
শীর্ষ,sheersh,শীরশ,shirsh," shrish, shirshe, shesh, shiksha, shishu, "," শ্রীশ, শীর্ষে, শেষ, শিক্ষা, শিশু, ",no
শিল্প,shilp,শিলপ,shilp," shilp, shilpi, shilpe, shiln, shil, "," শিল্প, শিল্পী, শিল্পে, শিলঙে, শিল, ",yes
মূল্য,muly,মূলা,mula," mula, muly, mul, mela, mala, "," মুলা, মূল্য, মূল, মেলা, মালা, ",yes
পণ্য,panya,পেণ,pen," pen, pan, open, pet, nen, "," পেন, পান, ওপেন, পেট, নেন, ",no
সম্পূরক,sampoorak,সপূরক,sapurk," sampark, apurv, satark, sabur, sapura, "," সম্পর্ক, অপূর্ব, সতর্ক, সবুর, সাপুড়া, ",no
প্রত্যাহার,pratyahar,পরত্যাহার,paratyahar," pratyahar, pratyahai, pratyashar, pratyaher, pratyahat, "," প্রত্যাহার, প্রত্যহই, প্রত্যাশার, প্রত্যহের, প্রত্যাহত, ",yes
প্রয়োজন,prayojan,পরয়োজন,paryojan," prayojan, prayojane, pryojan, prayojak, sanyojan, "," প্রয়োজন, প্রয়োজনে, প্রায়োজন, প্রযোজক, সংযোজন, ",no
রপ্তানি,raptani,রপতানি,rapatani," raptani, tanatani, rajarani, rajputani, sanatani, "," রপ্তানি, টানাটানি, রাজরানী, রাজপুতানীর, সনাতনী, ",yes
নিষিদ্ধের,nishiddher,নিষিদডের,nishidader," pishimader, nishiddher, "," পিসিমাদের, নিষিদ্ধের, ",yes
পরিপ্রেক্ষিতে,paripreekshite,পরিপরেক্ষিতে,pariparekshite," paripreekshite, pariprekshit, "," পরিপ্রেক্ষিতে, পরিপ্রেক্ষিত, ",yes
